"","V1"
"KRAS",0
"KIF18A",0
"IFNG",0
"GRB2",0
"FZD7",0
"FZD5",0
"FLT1",0
"FGF22",0
"FGF2",0
"CSNK1A1",0
"CALY",0
"AXIN1",0
"ARPP21",0
"AP2B1",0
"AKT1",0
"RBM3",0
"CTHRC1",0
"MUCL1",0
"ECT2",0
"FGFR1",0
"NCCRP1",0
"KRT6B",0
"CXCL5",0
"TSPAN8",0
"AXIN2",0
"SHC2",0
"DVL2",0
"MS4A7",0
"PAIP1",0
"MSI2",0
"HES5",0
"CGA",0
"ERBB2",0
"MMP9",0
"TNC",0
"SPP1",0
"KIT",0
"JAG2",0
"ITGB3",0
"ENG",0
"FOXE1",0
"KATNB1",0
"STIP1",0
"MTOR",0
"IGFBP5",0
"ARAF",0
"LOXL2",0
"SHC3",0
"ALDH3A1",0
"NQO1",0
"FGF16",0
"CHRNA9",0
"CDHR4",0
"NRAS",0
"FRAT2",0
"TAT",0
"SMN1",0
"RHBDD1",0
"LTK",0
"KLHDC7B",-0.481132392618331
"DVL3",0
"DHX32",0
"PCDH11X",0
"IHH",0
"FGF10",0
"CXCL6",0
"CXCL13",0
"HDC",0
"FGF18",0
"WNT6",0
"PDIA2",0
"RAF1",0
"RPLP1",0
"TRH",0
"EGLN1",0
"PIWIL2",0
"WNT9B",0
"COL11A2",0
"TGFB3",0
"SFTPA1",0
"LBP",0
"CXCL1",0
"CST4",0
"CA6",0
"ADH7",0
"GRIA1",0
"CD274",0
"COL9A1",0
"GPR180",0
"TP53INP1",0
"DDX3X",0
"UCHL5",0
"TCP11",0
"RSPO2",0
"MUC2",0
"MSLN",0
"IRS4",0
"GABRA1",0
"FGF9",0
"FGF6",0
"CUX2",0
"CCNB1",0
"C7orf57",0
"NCAN",0
"LRP5",0
"FAM71E2",0
"CDC20B",0
"WISP1",0
"SYK",0
"SLIT1",0
"TUBA3C",0
"WNT2",0
"LRP6",0
"CDH18",0
"C6orf223",0
"LRP1B",0
"KLK14",0
"AKT3",0
"TFF2",0
"PIGR",0
"HHATL",0
"FGF17",0
"PRSS3",0
"PITRM1",0
"FGF4",0
"DKK2",0
"ZHX3",0
"NTNG1",0
"FGF20",0
"OLFM3",0
"LHFPL4",0
"BEX1",0
"CDH3",0
"SERF1A",0
"PLA2G2D",0
"ADRB1",0
"PIK3R2",0
"S100B",0
"ELANE",0
"UGT1A7",0
"CLDN10",0
"TMEM190",0
"LPO",0
"FAP",0
"PROM1",0
"VTCN1",0
"FZD6",0
"MMP20",0
"FGF23",0
"FGF19",0
"CPB1",0
"PALM2",0
"FZD1",0
"GJB6",0
"ZFP42",0
"SYCE1",0
"PAGE2B",0
"POLK",0
"TYRP1",0
"C20orf85",0
"CSNK1A1L",0
"CD24",0
"SFTPB",0
"CYP2A6",0
